Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Dist,BldgCode,Address,Zip,City,Type,Address,Lat,Lon
P.S. 194 Countee Cullen,Dist: 5<br>BldgCode: M194<br>Address: 244 WEST 144 STREET<br>Zip: 10030<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M194,244 WEST 144 STREET,10030,Manhattan,Feeding Site,"244 WEST 144 STREET Manhattan, NY 10030",40.8212338,-73.9406204
P.S. 197 John B. Russwurm,Dist: 5<br>BldgCode: M197<br>Address: 2230 5 AVENUE<br>Zip: 10037<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M197,2230 5 AVENUE,10037,Manhattan,Feeding Site,"2230 5 AVENUE Manhattan, NY 10037",40.8133503,-73.9377732
Mott Hall High School,Dist: 5<br>BldgCode: M136<br>Address: 6 EDGECOMBE AVENUE<br>Zip: 10030<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M136,6 EDGECOMBE AVENUE,10030,Manhattan,Feeding Site,"6 EDGECOMBE AVENUE Manhattan, NY 10030",40.8174596,-73.9471414
Teachers College Community School,Dist: 5<br>BldgCode: M916<br>Address: 168 MORNINGSIDE AVENUE<br>Zip: 10027<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M916,168 MORNINGSIDE AVENUE,10027,Manhattan,Feeding Site,"168 MORNINGSIDE AVENUE Manhattan, NY 10027",40.812531,-73.9535474
Thurgood Marshall Academy for Learni,Dist: 5<br>BldgCode: M970<br>Address: 200-214 WEST 135TH STREET<br>Zip: 10030<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M970,200-214 WEST 135TH STREET,10030,Manhattan,Feeding Site,"200-214 WEST 135TH STREET Manhattan, NY 10030",40.815261,-73.9443103
Harlem Renaissance High School,Dist: 5<br>BldgCode: M911<br>Address: 22 EAST 128 STREET<br>Zip: 10035<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M911,22 EAST 128 STREET,10035,Manhattan,Feeding Site,"22 EAST 128 STREET Manhattan, NY 10035",40.8078044,-73.9399775
P.S. 004 Duke Ellington,Dist: 6<br>BldgCode: M004<br>Address: 500 WEST 160 STREET<br>Zip: 10032<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M004,500 WEST 160 STREET,10032,Manhattan,Feeding Site,"500 WEST 160 STREET Manhattan, NY 10032",40.8348474,-73.9412036
P.S. 005 Ellen Lurie,Dist: 6<br>BldgCode: M005<br>Address: 3703 TENTH AVENUE<br>Zip: 10034<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M005,3703 TENTH AVENUE,10034,Manhattan,Feeding Site,"3703 TENTH AVENUE Manhattan, NY 10034",40.8589195,-73.9224277
P.S. 008 Luis Belliard,Dist: 6<br>BldgCode: M008<br>Address: 465 WEST 167 STREET<br>Zip: 10032<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M008,465 WEST 167 STREET,10032,Manhattan,Feeding Site,"465 WEST 167 STREET Manhattan, NY 10032",40.839388,-73.9369588
P.S. 028 Wright Brothers,Dist: 6<br>BldgCode: M028<br>Address: 475 WEST 155 STREET<br>Zip: 10032<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,6,M028,475 WEST 155 STREET,10032,Manhattan,Feeding Site,"475 WEST 155 STREET Manhattan, NY 10032",40.8319203,-73.9423196
