Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Geographic__District,Building_Code,Address,Zip_Code,Borough,Type,Full Address,Lat,Lon
I.S. 96 - BROOKLYN,Geographic  District: 21<br>Building Code: K096<br>Address: 99 AVENUE P<br>Zip Code: 11204<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,21,K096,99 AVENUE P,11204,Brooklyn,Community School & DYCD,"99 AVENUE P Brooklyn, NY 11204",40.6079832,-73.9851608
Brooklyn's Daily Discovery Pre-K Center at 10 Bouck Court,Geographic  District: 21<br>Building Code: K687<br>Address: 10 Bouck Court<br>Zip Code: 11223<br>Borough: Brooklyn<br>Type: Standalone Pre-K Site,,,,,,,-1,,,21,K687,10 Bouck Court,11223,Brooklyn,Standalone Pre-K Site,"10 Bouck Court Brooklyn, NY 11223",40.5886276,-73.9736224
ABRAHAM LINCOLN HS - K,Geographic  District: 21<br>Building Code: K410<br>Address: 2800 OCEAN PARKWAY<br>Zip Code: 11235<br>Borough: Brooklyn<br>Type: Filling Geographic Gaps,,,,,,,-1,,,21,K410,2800 OCEAN PARKWAY,11235,Brooklyn,Filling Geographic Gaps,"2800 OCEAN PARKWAY Brooklyn, NY 11235",40.5828631,-73.9682183
P.S. 152 - BROOKLYN,Geographic  District: 22<br>Building Code: K152<br>Address: 725 EAST  23 STREET<br>Zip Code: 11210<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,22,K152,725 EAST  23 STREET,11210,Brooklyn,Community School & DYCD,"725 EAST  23 STREET Brooklyn, NY 11210",40.6325873,-73.9542987
P.S./I.S. 395 - BROOKLYN,Geographic  District: 22<br>Building Code: K395<br>Address: 1001 EAST  45 STREET<br>Zip Code: 11203<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,22,K395,1001 EAST  45 STREET,11203,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"1001 EAST  45 STREET Brooklyn, NY 11203",40.636395,-73.9333185
The Joan Snow Pre-K Center at 1340 East 29th Street,Geographic  District: 22<br>Building Code: K063<br>Address: 1340 East 29 Street<br>Zip Code: 11210<br>Borough: Brooklyn<br>Type: Standalone Pre-K Site,,,,,,,-1,,,22,K063,1340 East 29 Street,11210,Brooklyn,Standalone Pre-K Site,"1340 East 29 Street Brooklyn, NY 11210",40.6185344,-73.9466822
P.S. 222 - BROOKLYN,Geographic  District: 22<br>Building Code: K222<br>Address: 3301 QUENTIN ROAD<br>Zip Code: 11234<br>Borough: Brooklyn<br>Type: Filling Geographic Gaps,,,,,,,-1,,,22,K222,3301 QUENTIN ROAD,11234,Brooklyn,Filling Geographic Gaps,"3301 QUENTIN ROAD Brooklyn, NY 11234",40.6136595,-73.939059
P.S. 254 - BROOKLYN,Geographic  District: 22<br>Building Code: K254<br>Address: 1801 AVENUE Y<br>Zip Code: 11235<br>Borough: Brooklyn<br>Type: Filling Geographic Gaps,,,,,,,-1,,,22,K254,1801 AVENUE Y,11235,Brooklyn,Filling Geographic Gaps,"1801 AVENUE Y Brooklyn, NY 11235",40.5909705,-73.951458
P.S. 12 - BROOKLYN,Geographic  District: 23<br>Building Code: K012<br>Address: 430 HOWARD AVENUE<br>Zip Code: 11233<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,23,K012,430 HOWARD AVENUE,11233,Brooklyn,Community School & DYCD,"430 HOWARD AVENUE Brooklyn, NY 11233",40.6730157,-73.919862
P.S. 156 - BROOKLYN,Geographic  District: 23<br>Building Code: K356<br>Address: 104 SUTTER AVENUE<br>Zip Code: 11212<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,23,K356,104 SUTTER AVENUE,11212,Brooklyn,Community School & DYCD,"104 SUTTER AVENUE Brooklyn, NY 11212",40.6654788,-73.9180947
P.S. 19 - QUEENS,Geographic  District: 24<br>Building Code: Q019<br>Address: 98-02 ROOSEVELT AVENUE<br>Zip Code: 11368<br>Borough: Queens<br>Type: Community School & DYCD,,,,,,,-1,,,24,Q019,98-02 ROOSEVELT AVENUE,11368,Queens,Community School & DYCD,"98-02 ROOSEVELT AVENUE Queens, NY 11368",40.7489392,-73.8669436
ELMHURST EDUCATIONAL CAMPUS - Q,Geographic  District: 24<br>Building Code: Q744<br>Address: 45-10 94TH STREET<br>Zip Code: 11373<br>Borough: Queens<br>Type: Community School & SBHC,,,,,,,-1,,,24,Q744,45-10 94TH STREET,11373,Queens,Community School & SBHC,"45-10 94TH STREET Queens, NY 11373",40.743204,-73.871482
Mosaic Pre-K Center at 44-15 Judge Street,Geographic  District: 24<br>Building Code: Q391<br>Address: 44-15 Judge Street<br>Zip Code: 11373<br>Borough: Queens<br>Type: Standalone Pre-K Site,,,,,,,-1,,,24,Q391,44-15 Judge Street,11373,Queens,Standalone Pre-K Site,"44-15 Judge Street Queens, NY 11373",40.7429955,-73.8772468
